Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"IDFC","58.00","63.80","58.00","63.20","7.50","13.46","1,236.17","766.30","64.40","36.60","68.98","25.90"
"IDEA","14.15","15.70","14.05","15.30","1.30","9.29","6,356.87","946.54","16.80","4.55","50.00","38.46"
"HINDALCO","455.50","477.35","455.50","474.75","25.10","5.58","182.58","859.60","551.85","224.55","99.98","15.02"
"TATACOMM","1,407.90","1,499.00","1,405.05","1,464.00","66.65","4.77","27.94","409.45","1,540.00","950.05","36.07","12.68"
"ABFRL","261.80","273.40","261.40","272.00","10.65","4.07","35.92","96.61","310.00","148.50","64.55","6.62"
"BHEL","57.40","59.45","57.25","59.05","1.95","3.42","294.72","173.29","80.35","34.95","66.81","0.25"
"TITAN","2,447.30","2,535.00","2,444.60","2,517.55","80.25","3.29","22.26","559.26","2,677.90","1,396.00","62.15","5.98"
"NATIONALUM","98.10","101.60","98.00","100.80","3.20","3.28","205.16","206.43","127.95","41.00","142.60","14.09"
"DLF","381.85","391.80","381.50","391.50","12.30","3.24","39.49","153.41","449.70","228.50","65.92","4.46"
"INDUSTOWER","242.15","249.80","241.10","247.90","7.45","3.10","29.26","72.37","332.80","194.10","7.11","-12.85"
"DELTACORP","252.40","260.70","247.10","259.00","7.65","3.04","59.21","151.07","308.50","138.00","59.19","5.01"
"TRENT","1,042.50","1,069.90","1,029.55","1,063.90","31.05","3.01","4.52","47.58","1,209.95","585.00","57.02","4.88"
"MOTHERSUMI","215.50","224.60","215.50","221.50","6.40","2.98","76.29","169.38","272.85","143.15","37.96","5.55"
"BATAINDIA","1,820.00","1,892.85","1,820.00","1,871.00","53.90","2.97","7.24","134.90","2,262.00","1,263.60","18.34","-0.38"
"AMARAJABAT","623.95","638.25","621.20","637.00","18.20","2.94","11.76","74.39","1,025.55","584.25","-31.94","3.09"
"PAGEIND","39,633.80","40,745.20","39,593.20","40,581.70","1,153.60","2.93","0.19","76.06","41,775.00","26,864.55","48.45","5.71"
"RAIN","230.95","244.80","230.00","239.70","6.75","2.90","64.73","155.23","272.75","121.40","88.89","20.91"
"ACC","2,163.00","2,238.50","2,162.45","2,223.80","60.55","2.80","4.68","103.66","2,589.00","1,584.20","34.92","-2.74"
"ULTRACEMCO","7,450.00","7,659.50","7,421.45","7,603.00","205.80","2.78","2.58","195.62","8,269.00","5,120.05","41.99","2.28"
"TORNTPHARM","3,182.80","3,298.50","3,182.80","3,278.85","87.90","2.75","3.58","116.73","3,298.50","2,311.10","17.40","7.78"
"BOSCHLTD","16,890.00","17,420.00","16,725.00","17,330.00","457.85","2.71","0.53","90.94","19,250.00","12,467.00","35.19","7.18"
"INDIAMART","6,350.70","6,540.00","6,291.00","6,475.60","168.60","2.67","1.69","108.53","9,950.00","6,200.00","3.59","-13.19"
"TATAMOTORS","472.70","483.60","471.85","482.80","12.40","2.64","155.41","744.79","536.70","180.40","162.18","5.28"
"BALKRISIND","2,262.80","2,330.50","2,250.00","2,320.00","56.90","2.51","2.09","48.28","2,723.80","1,516.65","43.65","6.68"
"CANBK","196.05","201.35","195.85","199.75","4.75","2.44","72.02","143.30","247.60","123.60","54.43","0.30"
"KOTAKBANK","1,762.00","1,801.00","1,760.05","1,797.80","42.55","2.42","22.13","396.50","2,253.00","1,626.00","-10.91","-8.36"
"IBULHSGFIN","215.90","219.65","215.25","218.00","5.15","2.42","192.02","418.16","313.70","154.20","1.47","-4.80"
"SUNTV","489.00","501.60","488.35","499.60","11.75","2.41","8.85","44.01","612.00","450.00","3.98","-4.10"
"UBL","1,547.70","1,591.95","1,547.45","1,585.00","37.30","2.41","2.21","34.90","1,785.80","1,051.40","36.65","5.36"
"DALBHARAT","1,811.00","1,865.95","1,798.15","1,847.50","43.15","2.39","2.02","37.35","2,548.40","1,035.10","71.42","-1.38"
"INDIACEM","187.55","194.40","187.55","192.25","4.40","2.34","26.35","50.70","232.00","142.35","10.46","4.46"
"LALPATHLAB","3,737.00","3,832.80","3,726.85","3,816.00","85.35","2.29","2.07","78.41","4,245.50","2,198.15","64.57","0.70"
"CHOLAFIN","512.25","522.60","510.00","520.20","11.50","2.26","12.06","62.34","667.40","376.35","35.15","-5.50"
"RAMCOCEM","988.00","1,023.00","982.10","1,007.00","22.30","2.26","3.65","36.87","1,132.70","766.05","23.73","7.01"
"BANKBARODA","80.10","82.30","80.10","81.95","1.80","2.25","224.68","183.54","108.00","60.75","31.96","-4.43"
"LICHSGFIN","363.40","372.30","363.05","369.95","8.10","2.24","11.68","43.18","542.45","339.75","2.68","-0.58"
"VEDL","333.30","344.45","333.30","340.75","7.45","2.24","63.00","214.51","385.90","156.10","110.27","0.56"
"ABCAPITAL","122.00","125.50","121.90","123.70","2.70","2.23","112.24","139.08","139.70","78.85","44.34","13.38"
"HONAUT","41,350.00","42,900.00","41,101.10","41,970.00","916.65","2.23","0.10","40.34","49,990.00","36,550.00","11.84","7.91"
"POLYCAB","2,420.00","2,478.60","2,405.00","2,463.00","52.25","2.17","4.03","98.77","2,648.00","1,023.50","138.44","6.81"
"SHREECEM","26,450.40","27,323.85","26,450.40","26,980.00","566.50","2.14","0.29","77.98","32,048.00","22,531.00","9.68","3.36"
"TATACONSUM","730.00","745.00","729.05","743.60","15.60","2.14","8.65","63.95","889.00","554.25","25.11","-4.50"
"SAIL","105.55","108.45","105.50","107.35","2.20","2.09","219.97","236.40","151.30","55.30","53.91","7.30"
"GRASIM","1,603.10","1,644.00","1,600.55","1,627.00","33.35","2.09","16.57","269.52","1,893.00","897.30","74.12","-2.13"
"DEEPAKNTR","2,451.90","2,494.00","2,446.00","2,491.00","50.60","2.07","6.34","157.03","3,020.00","910.50","168.47","17.53"
"IEX","248.90","254.10","248.30","252.80","5.10","2.06","60.21","151.71","318.67","68.10","13.41","-66.04"
"RECLTD","131.10","134.50","131.10","133.70","2.65","2.02","23.89","31.85","168.85","122.15","0.83","-0.63"
"JINDALSTEL","371.00","381.70","371.00","377.50","7.40","2.00","27.21","102.61","501.70","257.15","41.94","9.88"
"BPCL","376.50","387.40","376.50","385.50","7.55","2.00","38.90","149.71","503.00","357.40","0.69","4.19"
"BALRAMCHIN","359.70","369.65","357.65","369.00","7.25","2.00","24.83","90.67","398.00","157.00","117.25","18.40"
"JUBLFOOD","3,530.00","3,610.00","3,515.05","3,590.80","69.45","1.97","3.34","119.62","4,590.00","2,543.95","33.88","-1.65"
"AARTIIND","982.00","1,007.70","980.00","1,001.90","18.80","1.91","5.46","54.77","1,168.00","536.28","-17.84","6.89"
"ICICIGI","1,373.85","1,406.95","1,372.75","1,400.10","26.25","1.91","3.43","47.93","1,675.00","1,295.00","-7.28","-2.59"
"JKCEMENT","3,307.05","3,410.00","3,297.05","3,370.00","62.95","1.90","1.30","43.86","3,838.00","1,890.00","73.53","4.17"
"MARUTI","7,290.05","7,449.50","7,290.05","7,420.00","137.75","1.89","3.13","232.30","8,368.00","6,400.00","-2.53","4.98"
"IDFCFIRSTB","47.65","49.35","47.25","48.40","0.90","1.89","487.68","235.60","69.30","35.90","32.06","8.52"
"SBIN","454.25","461.40","453.10","460.20","8.50","1.88","100.06","459.33","542.30","269.50","66.20","-0.08"
"AMBUJACEM","372.40","384.30","372.00","377.90","6.95","1.87","19.07","72.24","442.50","241.70","49.72","0.88"
"PERSISTENT","4,858.70","4,925.00","4,801.00","4,899.95","89.35","1.86","3.49","169.91","4,925.00","1,465.05","219.76","18.39"
"EXIDEIND","165.90","168.60","165.35","168.20","3.05","1.85","13.37","22.43","219.30","152.60","-12.10","3.32"
"GODREJCP","955.00","974.15","952.95","967.45","17.10","1.80","7.67","74.02","1,138.00","646.15","29.14","4.80"
"INDHOTEL","176.00","181.85","175.00","180.00","3.15","1.78","46.11","82.33","230.49","91.02","47.72","-0.17"
"VOLTAS","1,203.00","1,240.00","1,199.50","1,220.10","21.30","1.78","11.99","147.12","1,356.90","810.10","48.83","1.59"
"INDIGO","1,990.00","2,025.00","1,981.80","2,014.50","34.95","1.77","4.17","83.59","2,380.00","1,502.30","19.22","5.75"
"BAJAJFINSV","16,197.55","16,500.00","16,170.00","16,451.60","284.05","1.76","2.30","377.06","19,325.00","8,273.70","83.58","-4.56"
"NAUKRI","5,440.00","5,631.50","5,440.00","5,563.05","95.65","1.75","2.54","141.31","7,465.40","4,023.90","16.44","-4.17"
"NAM-INDIA","348.00","354.00","346.95","352.20","6.05","1.75","5.14","18.03","476.45","270.00","17.32","-3.85"
"ASHOKLEY","120.60","123.65","120.50","122.65","2.05","1.70","89.89","109.91","153.50","93.75","29.38","2.46"
"GODREJPROP","1,853.25","1,881.95","1,848.15","1,871.55","31.10","1.69","3.92","73.29","2,598.00","1,200.00","34.28","-6.27"
"BERGEPAINT","764.85","781.00","757.20","772.30","12.75","1.68","10.40","80.34","872.95","675.05","2.50","2.73"
"HDFCAMC","2,415.95","2,449.95","2,411.00","2,449.00","40.45","1.68","1.18","28.70","3,365.00","2,280.00","-15.80","-2.48"
"CHAMBLFERT","388.90","396.50","388.90","393.80","6.45","1.67","8.39","32.98","451.00","200.35","69.52","8.19"
"HDFCLIFE","645.35","655.00","642.15","651.40","10.50","1.64","15.93","103.49","775.65","627.00","-3.60","-4.32"
