Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","17,244.50","17,400.80","17,238.50","17,354.05","150.10","0.87","1,670.29","14,588.45","30,892.40","4,632.70","24.12","2.18"
"HINDALCO","455.50","477.35","455.50","474.75","25.10","5.58","182.58","859.60","551.85","224.55","99.98","15.02"
"TITAN","2,447.30","2,535.00","2,444.60","2,517.55","80.25","3.29","22.26","559.26","2,677.90","1,396.00","62.15","5.98"
"ULTRACEMCO","7,450.00","7,659.50","7,421.45","7,603.00","205.80","2.78","2.58","195.62","8,269.00","5,120.05","41.99","2.28"
"TATAMOTORS","472.70","483.60","471.85","482.80","12.40","2.64","155.41","744.79","536.70","180.40","162.18","5.28"
"KOTAKBANK","1,762.00","1,801.00","1,760.05","1,797.80","42.55","2.42","22.13","396.50","2,253.00","1,626.00","-10.91","-8.36"
"TATACONSUM","730.00","745.00","729.05","743.60","15.60","2.14","8.65","63.95","889.00","554.25","25.11","-4.50"
"SHREECEM","26,450.40","27,323.85","26,450.40","26,980.00","566.50","2.14","0.29","77.98","32,048.00","22,531.00","9.68","3.36"
"GRASIM","1,603.10","1,644.00","1,600.55","1,627.00","33.35","2.09","16.57","269.52","1,893.00","897.30","74.12","-2.13"
"BPCL","376.50","387.40","376.50","385.50","7.55","2.00","38.90","149.71","503.00","357.40","0.69","4.19"
"MARUTI","7,290.05","7,449.50","7,290.05","7,420.00","137.75","1.89","3.13","232.30","8,368.00","6,400.00","-2.53","4.98"
"SBIN","454.25","461.40","453.10","460.20","8.50","1.88","100.06","459.33","542.30","269.50","66.20","-0.08"
"BAJAJFINSV","16,197.55","16,500.00","16,170.00","16,451.60","284.05","1.76","2.30","377.06","19,325.00","8,273.70","83.58","-4.56"
"AXISBANK","672.95","686.50","671.20","679.85","11.00","1.64","55.87","380.05","866.90","616.00","8.76","3.69"
