,SYMBOL,P4,P3,P2,P1,PC3,PC2,PC1,%PC3,%PC2,%PC1,TV4,TV3,TV2,TV1,CTV3,CTV2,CTV1,%CTV3,%CTV2,%CTV1,TQ4,TQ3,TQ2,TQ1,CTQ3,CTQ2,CTQ1,%CTQ3,%CTQ2,%CTQ1,DV4,DV3,DV2,DV1,CDV3,CDV2,CDV1,%CDV3,%CDV2,%CDV1,%DV4,%DV3,%DV2,%DV1,C%DV3,C%DV2,C%DV1
1,IDEA,8.65,8.85,9.1,9.0,-0.2,-0.25,0.1,-2.31,-2.82,1.1,125773464,79255978,120002040,67880130,46517486,-40746062,52121910,36.99,-51.41,43.43,192166,80459,90647,77114,111707,-10188,13533,58.13,-12.66,14.93,42207816,35392807,57167387,30948350,6815009,-21774580,26219037,16.15,-61.52,45.86,0.3356,0.4466,0.4764,0.4559,-0.11,-0.03,0.02
2,HINDALCO,396.05,407.5,411.1,412.65,-11.45,-3.6,-1.55,-2.89,-0.88,-0.38,7054654,6519737,5241693,11758976,534917,1278044,-6517283,7.58,19.6,-124.34,92140,70335,80357,149260,21805,-10022,-68903,23.67,-14.25,-85.75,2276127,2257763,1320273,3331854,18364,937490,-2011581,0.81,41.52,-152.36,0.3226,0.34630000000000005,0.2519,0.2833,-0.02,0.09,-0.03
3,TATACOMM,1176.55,1219.4,1217.9,1182.15,-42.85,1.5,35.75,-3.64,0.12,2.94,316866,588542,685248,298283,-271676,-96706,386965,-85.74,-16.43,56.47,14645,30702,27953,14933,-16057,2749,13020,-109.64,8.95,46.58,107676,175694,97980,119275,-68018,77714,-21295,-63.17,44.23,-21.73,0.3398,0.29850000000000004,0.14300000000000002,0.39990000000000003,0.04,0.16,-0.26
4,ABFRL,331.9,338.75,340.2,335.75,-6.85,-1.45,4.45,-2.06,-0.43,1.31,1677395,1633806,1897969,1458434,43589,-264163,439535,2.6,-16.17,23.16,36951,26355,24910,27813,10596,1445,-2903,28.68,5.48,-11.65,484258,512067,369222,395813,-27809,142845,-26591,-5.74,27.9,-7.2,0.2887,0.3134,0.1945,0.27140000000000003,-0.02,0.12,-0.08
5,BHEL,60.95,63.2,63.9,63.85,-2.25,-0.7,0.05,-3.69,-1.11,0.08,19652471,16294745,16854426,33973394,3357726,-559681,-17118968,17.09,-3.43,-101.57,34602,28331,34669,57826,6271,-6338,-23157,18.12,-22.37,-66.79,5842353,3896265,3835092,9930069,1946088,61173,-6094977,33.31,1.57,-158.93,0.2973,0.2391,0.2275,0.2923,0.06,0.01,-0.06
6,TITAN,2624.5,2680.1,2730.5,2592.85,-55.6,-50.4,137.65,-2.12,-1.88,5.04,1067626,1290447,5284814,1409852,-222821,-3994367,3874962,-20.87,-309.53,73.32,74108,75217,199594,142313,-1109,-124377,57281,-1.5,-165.36,28.7,541869,403624,1361596,875874,138245,-957972,485722,25.51,-237.34,35.67,0.5075000000000001,0.3128,0.2576,0.6213000000000001,0.19,0.06,-0.36
7,NATIONALUM,70.1,72.25,72.35,72.75,-2.15,-0.1,-0.4,-3.07,-0.14,-0.55,10578567,6928269,7104964,12882262,3650298,-176695,-5777298,34.51,-2.55,-81.31,31056,18926,21949,29922,12130,-3023,-7973,39.06,-15.97,-36.33,3661498,1379885,1965201,4045195,2281613,-585316,-2079994,62.31,-42.42,-105.84,0.3461,0.19920000000000002,0.2766,0.314,0.15,-0.08,-0.04
8,DLF,358.5,366.25,368.9,367.35,-7.75,-2.65,1.55,-2.16,-0.72,0.42,3727411,3136911,4146172,9169254,590500,-1009261,-5023082,15.84,-32.17,-121.15,36116,32737,45446,101469,3379,-12709,-56023,9.36,-38.82,-123.27,1640540,1108264,1399889,3106920,532276,-291625,-1707031,32.45,-26.31,-121.94,0.4401,0.3533,0.3376,0.33880000000000005,0.09,0.02,-0.0
9,INDUSTOWER,190.4,197.1,200.25,200.95,-6.7,-3.15,-0.7,-3.52,-1.6,-0.35,1827138,1055793,858038,1311742,771345,197755,-453704,42.22,18.73,-52.88,22289,12236,9628,15476,10053,2608,-5848,45.1,21.31,-60.74,958279,490968,203804,554037,467311,287164,-350233,48.77,58.49,-171.85,0.5245000000000001,0.465,0.23750000000000002,0.42240000000000005,0.06,0.23,-0.18
10,DELTACORP,217.55,228.7,227.35,220.75,-11.15,1.35,6.6,-5.13,0.59,2.9,7731308,6490573,9486970,6424694,1240735,-2996397,3062276,16.05,-46.17,32.28,53097,42541,64350,41060,10556,-21809,23290,19.88,-51.27,36.19,1890773,1722802,1970799,2154185,167971,-247997,-183386,8.88,-14.39,-9.31,0.2446,0.26539999999999997,0.2077,0.33530000000000004,-0.02,0.06,-0.13
11,TRENT,1423.05,1431.85,1450.75,1447.4,-8.8,-18.9,3.35,-0.62,-1.32,0.23,670168,532783,633829,572255,137385,-101046,61574,20.5,-18.97,9.71,30582,28438,36049,44124,2144,-7611,-8075,7.01,-26.76,-22.4,222906,298853,196185,268785,-75947,102668,-72600,-34.07,34.35,-37.01,0.3326,0.5609000000000001,0.3095,0.4697,-0.23,0.25,-0.16
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BATAINDIA,1810.3,1781.15,1784.65,1800.8,29.15,-3.5,-16.15,1.61,-0.2,-0.9,656495,267904,275557,200844,388591,-7653,74713,59.19,-2.86,27.11,25609,10216,14868,13442,15393,-4652,1426,60.11,-45.54,9.59,295243,161518,147207,103680,133725,14311,43527,45.29,8.86,29.57,0.4497,0.6029,0.5342,0.5162,-0.15,0.07,0.02
14,AMARAJABAT,487.75,495.9,500.9,501.05,-8.15,-5.0,-0.15,-1.67,-1.01,-0.03,279583,230358,224838,417044,49225,5520,-192206,17.61,2.4,-85.49,10654,8525,6788,11367,2129,1737,-4579,19.98,20.38,-67.46,103423,72546,63027,103707,30877,9519,-40680,29.86,13.12,-64.54,0.3699,0.3149,0.2803,0.2487,0.05,0.03,0.03
15,PAGEIND,51306.2,52385.0,53453.2,53078.95,-1078.8,-1068.2,374.25,-2.1,-2.04,0.7,19818,13276,17210,33655,6542,-3934,-16445,33.01,-29.63,-95.55,9325,7254,8783,16326,2071,-1529,-7543,22.21,-21.08,-85.88,7084,5150,6124,13119,1934,-974,-6995,27.3,-18.91,-114.22,0.3575,0.3879,0.3558,0.3898,-0.03,0.03,-0.03
16,RAIN,166.65,172.5,171.55,169.65,-5.85,0.95,1.9,-3.51,0.55,1.11,1133694,1848358,1338060,1679603,-714664,510298,-341543,-63.04,27.61,-25.53,15199,16560,11248,13685,-1361,5312,-2437,-8.95,32.08,-21.67,374836,401920,320034,405570,-27084,81886,-85536,-7.23,20.37,-26.73,0.3306,0.21739999999999998,0.23920000000000002,0.2415,0.11,-0.02,-0.0
17,ACC,2311.65,2369.25,2384.75,2381.75,-57.6,-15.5,3.0,-2.49,-0.65,0.13,380893,383666,567262,690259,-2773,-183596,-122997,-0.73,-47.85,-21.68,21308,22152,28218,36234,-844,-6066,-8016,-3.96,-27.38,-28.41,92002,51053,111532,180302,40949,-60479,-68770,44.51,-118.46,-61.66,0.2415,0.1331,0.1966,0.2612,0.11,-0.06,-0.06
18,ULTRACEMCO,6076.75,6149.9,6203.5,6287.25,-73.15,-53.6,-83.75,-1.2,-0.87,-1.35,276525,282642,454883,495617,-6117,-172241,-40734,-2.21,-60.94,-8.95,36520,40933,52964,64157,-4413,-12031,-11193,-12.08,-29.39,-21.13,126020,132409,238420,295266,-6389,-106011,-56846,-5.07,-80.06,-23.84,0.4557,0.4685,0.5241,0.5958,-0.01,-0.06,-0.07
19,TORNTPHARM,1588.1,1593.65,1572.4,1604.8,-5.55,21.25,-32.4,-0.35,1.33,-2.06,267278,331066,571156,166218,-63788,-240090,404938,-23.87,-72.52,70.9,24096,16104,23465,21292,7992,-7361,2173,33.17,-45.71,9.26,148514,234086,268385,82614,-85572,-34299,185771,-57.62,-14.65,69.22,0.5557,0.7071,0.46990000000000004,0.49700000000000005,-0.15,0.24,-0.03
20,BOSCHLTD,15572.25,15757.85,15865.35,15945.6,-185.6,-107.5,-80.25,-1.19,-0.68,-0.51,19107,13100,28071,30447,6007,-14971,-2376,31.44,-114.28,-8.46,4827,4102,5688,7008,725,-1586,-1320,15.02,-38.66,-23.21,10652,3778,16247,17748,6874,-12469,-1501,64.53,-330.04,-9.24,0.5575,0.2884,0.5788000000000001,0.5829,0.27,-0.29,-0.0
21,INDIAMART,4391.95,4472.75,4486.6,4522.25,-80.8,-13.85,-35.65,-1.84,-0.31,-0.79,78206,39177,49588,82863,39029,-10411,-33275,49.91,-26.57,-67.1,9955,5935,7129,14476,4020,-1194,-7347,40.38,-20.12,-103.06,35068,8952,7173,43365,26116,1779,-36192,74.47,19.87,-504.56,0.4484,0.2285,0.14470000000000002,0.5233,0.22,0.08,-0.38
22,TATAMOTORS,393.35,395.95,412.15,414.1,-2.6,-16.2,-1.95,-0.66,-4.09,-0.47,14641301,32914630,10670854,12771199,-18273329,22243776,-2100345,-124.81,67.58,-19.68,187285,383835,117622,159765,-196550,266213,-42143,-104.95,69.36,-35.83,3677800,12262312,2060289,3412533,-8584512,10202023,-1352244,-233.41,83.2,-65.63,0.25120000000000003,0.3725,0.1931,0.2672,-0.12,0.18,-0.07
23,BALKRISIND,1908.35,1901.6,1915.5,1918.45,6.75,-13.9,-2.95,0.35,-0.73,-0.15,286411,217568,158312,111328,68843,59256,46984,24.04,27.24,29.68,21503,14895,17286,12706,6608,-2391,4580,30.73,-16.05,26.5,161112,129706,73345,47978,31406,56361,25367,19.49,43.45,34.59,0.5625,0.5962,0.4633,0.43100000000000005,-0.03,0.13,0.03
24,CANBK,222.7,227.65,229.05,227.05,-4.95,-1.4,2.0,-2.22,-0.61,0.87,5922542,5360189,9307860,5994698,562353,-3947671,3313162,9.5,-73.65,35.6,29794,33586,42284,36926,-3792,-8698,5358,-12.73,-25.9,12.67,1536493,673164,2811622,988894,863329,-2138458,1822728,56.19,-317.67,64.83,0.2594,0.12560000000000002,0.30210000000000004,0.165,0.13,-0.18,0.14
25,KOTAKBANK,1787.9,1808.25,1825.4,1818.9,-20.35,-17.15,6.5,-1.14,-0.95,0.36,1496718,1037722,1063844,1748151,458996,-26122,-684307,30.67,-2.52,-64.32,74868,50633,78434,84923,24235,-27801,-6489,32.37,-54.91,-8.27,921504,470171,503999,914158,451333,-33828,-410159,48.98,-7.19,-81.38,0.6157,0.45310000000000006,0.47380000000000005,0.5229,0.16,-0.02,-0.05
26,IBULHSGFIN,123.85,127.6,135.55,132.0,-3.75,-7.95,3.55,-3.03,-6.23,2.62,11375564,40863246,21901015,18096850,-29487682,18962231,3804165,-259.22,46.4,17.37,43223,142071,82581,65880,-98848,59490,16701,-228.69,41.87,20.22,2436511,5834464,3616412,4022326,-3397953,2218052,-405914,-139.46,38.02,-11.22,0.21420000000000003,0.1428,0.16510000000000002,0.2223,0.07,-0.02,-0.06
27,SUNTV,530.9,534.65,540.5,526.8,-3.75,-5.85,13.7,-0.71,-1.09,2.53,2467723,1281185,1897424,1008611,1186538,-616239,888813,48.08,-48.1,46.84,20408,22505,35074,15840,-2097,-12569,19234,-10.28,-55.85,54.84,1476903,286166,440535,238098,1190737,-154369,202437,80.62,-53.94,45.95,0.5985,0.22340000000000002,0.2322,0.2361,0.38,-0.01,-0.0
28,UBL,1650.95,1709.7,1726.8,1737.95,-58.75,-17.1,-11.15,-3.56,-1.0,-0.65,369343,208097,356499,328927,161246,-148402,27572,43.66,-71.31,7.73,17392,12704,25537,17502,4688,-12833,8035,26.95,-101.02,31.46,176189,65161,101974,121659,111028,-36813,-19685,63.02,-56.5,-19.3,0.47700000000000004,0.3131,0.28600000000000003,0.3699,0.16,0.03,-0.08
29,DALBHARAT,1490.15,1532.45,1524.35,1570.65,-42.3,8.1,-46.3,-2.84,0.53,-3.04,170005,181271,558920,234208,-11266,-377649,324712,-6.63,-208.33,58.1,7546,10467,26889,13021,-2921,-16422,13868,-38.71,-156.89,51.57,87644,21906,123442,121546,65738,-101536,1896,75.01,-463.51,1.54,0.5155,0.1208,0.2209,0.519,0.39,-0.1,-0.3
30,INDIACEM,244.05,275.25,274.8,278.25,-31.2,0.45,-3.45,-12.78,0.16,-1.26,22393041,14587029,11184905,22550913,7806012,3402124,-11366008,34.86,23.32,-101.62,127307,83501,59694,115939,43806,23807,-56245,34.41,28.51,-94.22,4015094,1610266,1082244,2250730,2404828,528022,-1168486,59.89,32.79,-107.97,0.1793,0.1104,0.0968,0.0998,0.07,0.01,-0.0
31,LALPATHLAB,2267.3,2374.5,2441.85,2476.75,-107.2,-67.35,-34.9,-4.73,-2.84,-1.43,294673,234002,144973,187169,60671,89029,-42196,20.59,38.05,-29.11,23093,17165,15309,14799,5928,1856,510,25.67,10.81,3.33,124431,122584,51021,50485,1847,71563,536,1.48,58.38,1.05,0.42229999999999995,0.5239,0.3519,0.2697,-0.1,0.17,0.08
32,CHOLAFIN,719.2,729.85,737.15,728.7,-10.65,-7.3,8.45,-1.48,-1.0,1.15,1401012,866135,1025301,990000,534877,-159166,35301,38.18,-18.38,3.44,27417,22232,31236,30829,5185,-9004,407,18.91,-40.5,1.3,965338,469212,404077,446350,496126,65135,-42273,51.39,13.88,-10.46,0.6890000000000001,0.5417000000000001,0.39409999999999995,0.4509,0.15,0.15,-0.06
33,RAMCOCEM,707.15,724.25,737.2,763.0,-17.1,-12.95,-25.8,-2.42,-1.79,-3.5,1070851,254858,625971,295262,815993,-371113,330709,76.2,-145.62,52.83,17918,13846,18113,15153,4072,-4267,2960,22.73,-30.82,16.34,725907,53306,96577,106570,672601,-43271,-9993,92.66,-81.17,-10.35,0.6779000000000001,0.20920000000000002,0.1543,0.36090000000000005,0.47,0.05,-0.21
34,BANKBARODA,129.6,132.2,135.3,134.9,-2.6,-3.1,0.4,-2.01,-2.34,0.3,14200008,21143008,23951985,16669962,-6943000,-2808977,7282023,-48.89,-13.29,30.4,45317,71421,85766,53607,-26104,-14345,32159,-57.6,-20.09,37.5,2629026,8004117,7673829,5138695,-5375091,330288,2535134,-204.45,4.13,33.04,0.18510000000000001,0.3786,0.3204,0.30829999999999996,-0.19,0.06,0.01
35,LICHSGFIN,404.6,416.2,425.55,426.5,-11.6,-9.35,-0.95,-2.87,-2.25,-0.22,1008701,1501296,2001032,2020216,-492595,-499736,-19184,-48.83,-33.29,-0.96,18538,37408,65133,40258,-18870,-27725,24875,-101.79,-74.12,38.19,352945,564873,1081207,874284,-211928,-516334,206923,-60.05,-91.41,19.14,0.34990000000000004,0.3763,0.5403,0.4328,-0.03,-0.16,0.11
36,VEDL,286.05,297.05,291.9,292.4,-11.0,5.15,-0.5,-3.85,1.73,-0.17,21039535,11439140,8499499,16940276,9600395,2939641,-8440777,45.63,25.7,-99.31,172837,112940,73534,144994,59897,39406,-71460,34.66,34.89,-97.18,7404490,3093335,2722627,5123463,4311155,370708,-2400836,58.22,11.98,-88.18,0.3519,0.2704,0.32030000000000003,0.3024,0.08,-0.05,0.02
37,ABCAPITAL,111.85,114.65,115.3,115.55,-2.8,-0.65,-0.25,-2.5,-0.57,-0.22,1757454,1728482,1813105,2374868,28972,-84623,-561763,1.65,-4.9,-30.98,11887,11062,12551,15137,825,-1489,-2586,6.94,-13.46,-20.6,682689,647712,720523,773967,34977,-72811,-53444,5.12,-11.24,-7.42,0.3885,0.3747,0.39740000000000003,0.3259,0.01,-0.02,0.07
38,HONAUT,38890.2,38642.3,39515.3,39983.0,247.9,-873.0,-467.7,0.64,-2.26,-1.18,6645,5988,2468,5316,657,3520,-2848,9.89,58.78,-115.4,2808,2964,1137,1974,-156,1827,-837,-5.56,61.64,-73.61,3389,3099,1347,2218,290,1752,-871,8.56,56.53,-64.66,0.51,0.5175,0.5458,0.4172,-0.01,-0.03,0.13
39,POLYCAB,2584.95,2614.35,2604.9,2642.95,-29.4,9.45,-38.05,-1.14,0.36,-1.46,204428,155471,239419,282347,48957,-83948,-42928,23.95,-54.0,-17.93,21916,12967,17987,21029,8949,-5020,-3042,40.83,-38.71,-16.91,93491,46870,108243,85087,46621,-61373,23156,49.87,-130.94,21.39,0.4573,0.3015,0.4521,0.3014,0.16,-0.15,0.15
40,SHREECEM,20802.1,21142.65,21283.75,21321.2,-340.55,-141.1,-37.45,-1.64,-0.67,-0.18,47401,39434,41735,56605,7967,-2301,-14870,16.81,-5.84,-35.63,13545,10900,12394,18700,2645,-1494,-6306,19.53,-13.71,-50.88,20718,11962,9159,17870,8756,2803,-8711,42.26,23.43,-95.11,0.43710000000000004,0.3033,0.2195,0.31570000000000004,0.13,0.08,-0.1
41,TATACONSUM,742.6,757.15,780.9,794.3,-14.55,-23.75,-13.4,-1.96,-3.14,-1.72,1956824,2334168,1053907,2067042,-377344,1280261,-1013135,-19.28,54.85,-96.13,60265,70735,46394,50133,-10470,24341,-3739,-17.37,34.41,-8.06,936482,1294495,579678,1153041,-358013,714817,-573363,-38.23,55.22,-98.91,0.4786,0.5546,0.55,0.5578000000000001,-0.08,0.0,-0.01
42,SAIL,79.35,81.9,81.05,82.45,-2.55,0.85,-1.4,-3.21,1.04,-1.73,15270763,17325325,12122823,22003469,-2054562,5202502,-9880646,-13.45,30.03,-81.5,36689,47253,35065,55110,-10564,12188,-20045,-28.79,25.79,-57.17,5120849,6215949,2489349,7116693,-1095100,3726600,-4627344,-21.39,59.95,-185.89,0.33530000000000004,0.3588,0.2053,0.3234,-0.02,0.15,-0.12
43,GRASIM,1644.5,1673.95,1697.9,1683.1,-29.45,-23.95,14.8,-1.79,-1.43,0.87,407835,768330,688616,613655,-360495,79714,74961,-88.39,10.37,10.89,29149,32538,43436,40906,-3389,-10898,2530,-11.63,-33.49,5.82,196447,432607,335518,307659,-236160,97089,27859,-120.22,22.44,8.3,0.4817,0.563,0.4872,0.5014000000000001,-0.08,0.08,-0.01
44,DEEPAKNTR,2178.2,2206.65,2205.35,2175.9,-28.45,1.3,29.45,-1.31,0.06,1.34,724712,628087,847553,710290,96625,-219466,137263,13.33,-34.94,16.2,45164,36940,41829,36050,8224,-4889,5779,18.21,-13.23,13.82,200776,175859,269857,197772,24917,-93998,72085,12.41,-53.45,26.71,0.277,0.28,0.3184,0.2784,-0.0,-0.04,0.04
45,IEX,141.0,143.1,146.05,145.8,-2.1,-2.95,0.25,-1.49,-2.06,0.17,3914733,4116049,3090370,5636347,-201316,1025679,-2545977,-5.14,24.92,-82.38,43573,44744,28116,46668,-1171,16628,-18552,-2.69,37.16,-65.98,1628700,1808089,1115826,1677420,-179389,692263,-561594,-11.01,38.29,-50.33,0.41600000000000004,0.4393,0.3611,0.29760000000000003,-0.02,0.08,0.06
46,RECLTD,92.05,93.0,95.15,95.5,-0.95,-2.15,-0.35,-1.03,-2.31,-0.37,4162842,7257911,3603038,6223294,-3095069,3654873,-2620256,-74.35,50.36,-72.72,27524,28608,25365,28253,-1084,3243,-2888,-3.94,11.34,-11.39,2645603,4492936,1877468,4167530,-1847333,2615468,-2290062,-69.83,58.21,-121.98,0.6355,0.619,0.5211,0.6697,0.02,0.1,-0.15
47,JINDALSTEL,428.55,446.5,446.3,453.0,-17.95,0.2,-6.7,-4.19,0.04,-1.5,3590610,1784305,3064718,3200170,1806305,-1280413,-135452,50.31,-71.76,-4.42,50707,26833,36783,42917,23874,-9950,-6134,47.08,-37.08,-16.68,1677590,323976,825286,986632,1353614,-501310,-161346,80.69,-154.74,-19.55,0.4672,0.1816,0.2693,0.30829999999999996,0.29,-0.09,-0.04
48,BPCL,299.75,304.65,307.4,312.15,-4.9,-2.75,-4.75,-1.63,-0.9,-1.55,2652669,2365616,3218419,3486803,287053,-852803,-268384,10.82,-36.05,-8.34,55481,51861,62229,62584,3620,-10368,-355,6.52,-19.99,-0.57,1425085,824116,1302455,1684095,600969,-478339,-381640,42.17,-58.04,-29.3,0.5372,0.34840000000000004,0.4047,0.483,0.19,-0.06,-0.08
49,BALRAMCHIN,351.6,357.9,362.95,360.4,-6.3,-5.05,2.55,-1.79,-1.41,0.7,1711953,1154723,1534461,1667005,557230,-379738,-132544,32.55,-32.89,-8.64,23871,21264,28448,26303,2607,-7184,2145,10.92,-33.78,7.54,329148,176660,210204,405492,152488,-33544,-195288,46.33,-18.99,-92.9,0.1923,0.153,0.13699999999999998,0.2432,0.04,0.02,-0.11
50,JUBLFOOD,600.2,615.75,618.95,639.2,-15.55,-3.2,-20.25,-2.59,-0.52,-3.27,3651280,1873278,4594258,5448177,1778002,-2720980,-853919,48.7,-145.25,-18.59,64849,50583,108172,135484,14266,-57589,-27312,22.0,-113.85,-25.25,1714246,566578,1687190,2638765,1147668,-1120612,-951575,66.95,-197.79,-56.4,0.46950000000000003,0.3025,0.36719999999999997,0.4843,0.17,-0.06,-0.12
51,AARTIIND,763.2,769.5,773.75,787.1,-6.3,-4.25,-13.35,-0.83,-0.55,-1.73,628119,822466,642343,1198823,-194347,180123,-556480,-30.94,21.9,-86.63,28180,31038,31658,42764,-2858,-620,-11106,-10.14,-2.0,-35.08,290217,268167,219811,395428,22050,48356,-175617,7.6,18.03,-79.89,0.462,0.3261,0.3422,0.3298,0.14,-0.02,0.01
52,ICICIGI,1135.05,1129.1,1144.9,1160.45,5.95,-15.8,-15.55,0.52,-1.4,-1.36,836099,1053052,1134702,1007667,-216953,-81650,127035,-25.95,-7.75,11.2,60470,118322,40708,61794,-57852,77614,-21086,-95.67,65.6,-51.8,576107,796960,872815,753241,-220853,-75855,119574,-38.34,-9.52,13.7,0.6890000000000001,0.7568000000000001,0.7692,0.7475,-0.07,-0.01,0.02
53,JKCEMENT,2490.0,2554.35,2569.25,2624.55,-64.35,-14.9,-55.3,-2.58,-0.58,-2.15,63244,46125,135422,53300,17119,-89297,82122,27.07,-193.6,60.64,7515,5265,10290,6707,2250,-5025,3583,29.94,-95.44,34.82,14078,5683,17584,16543,8395,-11901,1041,59.63,-209.41,5.92,0.22260000000000002,0.1232,0.1298,0.3104,0.1,-0.01,-0.18
54,MARUTI,8684.15,8862.4,8779.1,8703.0,-178.25,83.3,76.1,-2.05,0.94,0.87,422610,411218,428616,474445,11392,-17398,-45829,2.7,-4.23,-10.69,61935,56296,55955,70037,5639,341,-14082,9.1,0.61,-25.17,191963,152899,126437,228413,39064,26462,-101976,20.35,17.31,-80.65,0.45420000000000005,0.3718,0.295,0.4814,0.08,0.08,-0.19
